,0,1,2,3,4,5,6,7,8,9,10,11,12
0,576757764.5817529,571562747.4318569,566606849.8951236,561884582.9088719,557390742.6968066,553120401.1952353,549068897.0293956,545231827.0167184,541605038.1753045,538184620.2172697,534966898.50792307,531948427.47299784,529125984.43733835
1,587433613.4712812,592917955.7318325,598362428.4608753,603764986.8951497,609123586.4953204,614436184.2042283,619700739.7157513,624915216.7532036,630077584.3561832,635185818.1747565,640237901.7698553,645231827.9187391,650165599.9243641
2,590089357.3902123,598291150.6962091,606589921.6923437,614986546.1053373,623481903.4822453,632076877.1434679,640772354.1345688,649569225.176897,658468384.6170021,667470730.3748348,676577163.890725,685788590.0711305,695105917.2331463
3,590333194.4397063,598785705.2532442,607371731.5898774,616093543.363445,624953451.4863842,633953808.6495792,643097010.117736,652385494.540601,661821744.780354,671408288.7555118,681147700.3016838,691042600.049532,701095656.3202921
4,589304813.0888869,596701310.5321785,604302291.8317612,612113167.9489971,620139535.5796683,628387183.6739607,636862100.2181463,645570479.2888602,654518728.3913648,663713476.0937115,673161579.9692489,682870134.8604952,692846481.4779878
5,576960382.9340265,571964404.5968703,566688211.6700139,561140198.4894801,555329147.8888204,549264207.9664757,542954868.0214318,536410933.7460271,529642501.76694506,522659933.6271627,515473829.3029321,508095000.35073733,500534442.77959895
6,581464119.6805245,580928732.7763699,580038988.9275836,578796301.3788177,577202728.8414724,575260969.8692703,572974355.2848282,570346838.6867778,567382985.075167,564087957.640859,560467502.7724038,556527933.3413255,552276110.3339301
7,580658931.6477523,579320953.4403936,578032931.2416093,576794541.512397,575605473.5065879,574465429.1407986,573374122.869806,572331281.5672711,571336644.411742,570389962.7778709,569491000.1327798,568639531.9375154,567835345.5535346
8,580323473.2214618,578651775.896599,577198477.2276584,575961875.2500162,574940512.8531083,574133174.9237901,573538885.944538,573156908.039862,572986739.4654782,573028113.5359454,573280997.9876153,573745594.7748723,574422340.2987639
9,579891673.8255302,577790985.1755584,576125510.0896773,574891206.8590643,574085005.7036397,573704796.1638384,573749418.0878595,574218656.16135,575113237.9450198,576434835.4039608,578186069.9305611,580370520.8810079,582992737.663556
10,578239546.7824405,574503390.8301758,571201490.1224898,568326324.633973,565871336.8156192,563830906.6513287,562200330.2219136,560975801.6621294,560154398.41395,559734069.6963321,559713628.1281893,560092744.4573253,560871945.3637673
11,569578432.8678516,557421977.9865941,545985956.6634581,535236077.9234706,525140484.94918174,515669597.74825585,506795968.5934928,498494149.2453852,490740569.0566514,483513423.1396571,476792569.8520153,470559436.9236458,464796935.61080164
12,571644792.5288968,561473829.5969167,551957814.9822162,543069029.192351,534781834.4045442,527072550.85648394,519919343.70115495,513302119.5664396,507202432.13107806,501603396.0935247,496489608.9698747,491847080.2119007,487663167.1868348
13,571996488.3000036,562164918.6040142,552917664.069884,544231017.6135873,536082922.16734195,528452877.13564193,521321852.2087628,514672208.0252299,508487623.2188997,502753027.4269628,497454539.872658,492579413.17110485,488115982.03867185
14,572915855.35986,563973500.5545017,555501168.6745229,547481595.0655826,539898580.3959017,532736936.06180054,525982433.4064298,519621756.5136505,513642458.3574006,508032920.1039469,502782313.3802776,497880565.3366425,493318326.3449907
15,601948402.0645121,622580547.6770096,640766718.0448291,656238862.5976638,668760979.9677353,678134997.5558583,684205892.1429039,686865869.9283143,686057451.4979616,681775341.5336995,674067003.2588943,663031902.0080273,648819428.99226
16,601139171.4122281,620907737.8113061,639503916.4803982,656779986.7113497,672594994.2711805,686816628.8270743,699323036.2534883,710004531.7632055,718765180.7218454,725524215.7314075,730217261.0838382,732797338.9475662,733235635.5924547
17,598175372.3753207,614800302.6054184,630465787.7878752,645072721.087994,658526583.7451351,670738446.7459551,681625935.7158139,691114144.6203631,699136484.2973973,705635452.5375922,710563313.3947756,713882674.6185449,715566953.544953
18,598234597.1281669,614922050.1737117,630705970.4769704,645490873.9422867,659185285.4236916,671702665.1688418,682962306.1665125,692890189.5992522,701419785.8987051,708492789.4279343,714059775.5687287,718080769.9630597,720525720.8322195
19,598537213.7895842,615544323.5240523,631708777.6863128,646936995.1108289,661138785.6311734,674228223.524139,686124499.8435107,696752742.0279282,706044789.3306617,713939912.9845154,720385470.5811079,725337484.9047494,728761138.4070108
20,598362235.2335331,615184475.1781272,631131786.9552408,646109692.0819087,660027427.8172404,672798847.0684782,684343293.0325576,694586436.3648834,703461062.898533,710907800.3850306,716875773.38946,721323176.3404869,724217755.7976314
21,575367705.2391176,568810990.0895673,563146663.7812616,558348271.8907087,554393395.8246763,551263477.921444,548943676.2957554,547422747.8365467,546692958.0679548,546750016.8672546,547593039.3021432,549224531.1077726,551650398.5745848
22,583835704.9259391,585677199.9078492,587830635.8428088,590299247.8295794,593086775.3970654,596197471.9139397,599636115.3708639,603408020.5734496,607519052.789386,611975642.898641,616784804.1013477,621954150.2439455,627491915.8303835
23,587557158.6943992,593167379.266384,598974719.4726784,604983872.329626,611199722.1849611,617627351.2729143,624272046.5713593,631139306.9738401,638234850.7899787,645564623.5884464,653134806.3974063,660951824.2780964,669022355.288014
24,587593903.6554625,593241573.2183245,599015766.3572878,604919105.4394263,610954285.2162694,617124074.8321193,623431319.896968,629878944.6261468,636469954.0489227,643207436.2883345,650094564.9146452,657134601.374873,664330897.5009544
