,0,1,2,3,4,5,6,7,8,9,10,11,12
0,402053398.0742324,405740298.45139855,409154731.83551365,412289044.8281193,415136148.2015329,417689543.4778485,419943347.5220087,421892315.01935226,423531858.7180278,424858067.327473,425867720.9757068,426558304.1404111,426928015.98160464
1,397141539.0921397,395887053.3947629,394164254.91917956,391978733.40794367,389337716.9700498,386250032.41444755,382726056.1729681,378777656.1936705,374418125.2598127,369662106.25927526,364525509.9935733,359025426.1739244,353180028.30359524
2,397201632.96399283,396006870.5553777,394540413.2493965,392805117.13951546,390804390.3872772,388542182.08481854,386022969.2707197,383251742.1588945,380233987.64875007,376975671.19295377,373483217.10680085,369763487.41033417,365823759.3009771
3,397126392.1133905,395856855.70531726,394348227.287524,392603124.505949,390624592.3933101,388416094.5213276,385981502.89581865,383325086.6359222,380451499.48381037,377365766.1960938,374073267.8727102,370579726.2833728,366891187.2556253
4,398725202.3235815,399050670.10035396,399088587.31824684,398838664.5623448,398301234.9972535,397477253.9141103,396368296.03367406,394976550.57533306,393304814.1131584,391356481.2513035,389135533.162041,386646524.04046035,383894565.54025584
5,406161914.65130436,414075052.49300563,421754760.8285405,429182114.4870901,436338528.2411462,443205833.0170544,449766351.6426219,456002973.69734466,461899229.02822495,467439359.4947888,472608388.5108296,477392187.9576309,481777542.0539513
6,391669305.49068856,385052321.4446745,378417521.6676761,371769673.5716129,365113477.20209193,358453560.0485436,351794472.0641455,345140680.90204793,338496567.3737935,331866421.1352006,325254436.6043503,318664709.11568636,312101231.3136094
7,404708431.9851553,411116754.3169756,417096263.028654,422624742.5719444,427681370.9303899,432246849.1155613,436303522.89128035,439835495.6607143,442828731.5141536,445271147.5095493,447152694.3428044,448465424.65955603,449203548.36378664
8,408829696.8159928,419532432.22554356,430104883.41490847,440522951.4990346,450762359.8546263,460798744.47617036,470607747.12486184,480165110.7967234,489446777.0079287,498428984.37024015,507088367.90787214,515402058.549258,523347782.21338576
9,409162032.2095734,420214780.6271786,431132926.9255542,441890325.49730974,452460621.57271963,462817354.2391139,472934062.79022366,482784395.8376631,492342222.5814611,501581745.60530347,510477614.5353217,519005039.8792124,527139906.3455355
10,409511838.50759065,420933599.0910316,432165941.7534216,443176472.9512245,453932698.6958338,464402178.60746187,474552683.9422951,484352358.559486,493769881.7408993,502774631.73186517,511336848.8362703,519427796.8747667,527019921.8012296
11,342892526.05238813,295118685.79966784,256695107.07746556,225617521.52385032,200362091.0815057,179762827.3991551,162922423.85810485,149146960.91655254,137897800.10616148,128755950.73958847,121395561.37700857,115564145.96286884,111067830.63288984
12,384944336.19432,371943127.42993397,359825560.296533,348532825.3363186,338011056.7825644,328210908.07501405,319087168.71804357,310598418.3377477,302706714.2452783,295377309.21438766,288578396.5372231,282280879.7392687,276458164.6165692
13,397705418.09796315,397012047.1497883,396327760.8113999,395652516.09522986,394986270.62674844,394328982.64003253,393680610.9734029,393041115.06512827,392410454.94919646,391788591.25115204,391175485.1839989,390571098.5441684,389975393.7075519
14,403237499.6800037,408133737.82173944,412838366.9804074,417343272.5380781,421640609.92235154,425722827.18747514,429582686.96961296,433213287.72763205,436608084.1827743,439760906.8730313,442665980.7409343,445317942.67679614,447711857.94318444
15,405234230.96912706,412185697.6635035,418871391.5400763,425274263.3653981,431377763.9861517,437165914.7413909,442623376.4181831,447735516.3392013,452488473.17596877,456869219.08974165,460865618.8134038,464466485.3022013,467661631.5985849
16,398127329.61900043,397854845.85731983,397708691.2567364,397688686.67717075,397794773.09139645,398027011.42797315,398385582.60445124,398870787.75078136,399483048.62328315,400222908.2099522,401091031.5283065,402088206.6174036,403215345.7260904
