,0,1,2,3,4,5,6,7,8,9,10,11,12
0,7.734670881796063e-05,7.433787086007313e-05,7.164021645356251e-05,6.922755018327076e-05,6.707692844336453e-05,6.516829326544345e-05,6.348415807104543e-05,6.200933840459954e-05,6.0730721795284935e-05,5.963707182391398e-05,5.871886226208098e-05,5.796813782895468e-05,5.737839869598702e-05
1,7.866521889467675e-05,7.676807613269757e-05,7.499778782582223e-05,7.334755422249369e-05,7.181112005416238e-05,7.038273497063697e-05,6.90571175967098e-05,6.782942289488914e-05,6.669521255112104e-05,6.565042812926716e-05,6.469136676617496e-05,6.381465920274386e-05,6.301724996773551e-05
2,7.94313637620763e-05,7.821010154798906e-05,7.703138539688125e-05,7.589384470564242e-05,7.479616748556432e-05,7.373709786621829e-05,7.271543372298592e-05,7.173002442201604e-05,7.07797686767259e-05,6.98636125102911e-05,6.898054731887552e-05,6.81296080306436e-05,6.730987135587054e-05
3,7.986097023383382e-05,7.904660053350507e-05,7.825301739616887e-05,7.7479758226551e-05,7.672637477462153e-05,7.599243270618092e-05,7.527751118881211e-05,7.458120249264972e-05,7.390311160543929e-05,7.324285586138066e-05,7.260006458326974e-05,7.197437873747255e-05,7.136545060128375e-05
4,7.99015948149753e-05,7.912862187181976e-05,7.837719313995138e-05,7.764683304153241e-05,7.693708183539032e-05,7.624749513690645e-05,7.557764345619874e-05,7.492711175392891e-05,7.429549901409313e-05,7.36824178331818e-05,7.308749402512124e-05,7.251036624143399e-05,7.195068560607902e-05
5,7.999899554513455e-05,7.931389906651975e-05,7.864109527750058e-05,7.798036989077415e-05,7.733151338976564e-05,7.669432091987635e-05,7.60685921825515e-05,7.545413133209224e-05,7.485074687513843e-05,7.425825157275069e-05,7.367646234502276e-05,7.310520017815676e-05,7.254429003393623e-05
6,7.90581165512417e-05,7.749652733223287e-05,7.600855127639162e-05,7.459109200733433e-05,7.324123105786877e-05,7.195621791340085e-05,7.07334607154481e-05,6.957051758143836e-05,6.846508850021875e-05,6.741500776570284e-05,6.641823691386353e-05,6.547285813085353e-05,6.457706810242012e-05
7,8.002425594354294e-05,7.926691491605693e-05,7.842700370797077e-05,7.750720547105346e-05,7.651044928281897e-05,7.543989455515026e-05,7.429891428667812e-05,7.309107728361646e-05,7.182012948075042e-05,7.048997450000915e-05,6.910465358848514e-05,6.766832508085526e-05,6.618524353289955e-05
8,7.990854005700622e-05,7.909500123596901e-05,7.825691162301975e-05,7.739521696974316e-05,7.651088279539197e-05,7.560489258243817e-05,7.467824595321117e-05,7.373195683235719e-05,7.276705159984641e-05,7.178456723923261e-05,7.078554948583142e-05,6.977105097943048e-05,6.87421294260769e-05
9,7.988151798776748e-05,7.905487971026163e-05,7.821721522448129e-05,7.736905358271301e-05,7.651092616233573e-05,7.564336611530843e-05,7.476690782115702e-05,7.388208634423704e-05,7.298943689603368e-05,7.208949430324326e-05,7.118279248236276e-05,7.026986392149435e-05,6.935123917005131e-05
10,7.981498818198507e-05,7.895613689353147e-05,7.811951868536365e-05,7.730461900466798e-05,7.651093955614455e-05,7.573799779911115e-05,7.498532646297985e-05,7.42524730804303e-05,7.353899953763136e-05,7.284448164088892e-05,7.216850869912395e-05,7.15106831216081e-05,7.087062003040854e-05
11,8.000513964124157e-05,7.931199875290793e-05,7.861732730054568e-05,7.792127055121393e-05,7.722397290828776e-05,7.652557786405972e-05,7.582622795318475e-05,7.512606470698781e-05,7.442522860865277e-05,7.372385904931015e-05,7.302209428504088e-05,7.232007139481218e-05,7.161792623936102e-05
12,7.765900236485311e-05,7.486905660034559e-05,7.2307865529488e-05,6.995841764834722e-05,6.780540307049655e-05,6.58350472683099e-05,6.40349639655946e-05,6.239402497834567e-05,6.0902245083213754e-05,5.9550680239556677e-05,5.833133770580437e-05,5.723709677870643e-05,5.626163904862824e-05
13,7.883379859953493e-05,7.705513308134765e-05,7.535680868223065e-05,7.373524021983865e-05,7.218704356452973e-05,7.070902403926876e-05,6.92981655755747e-05,6.79516205745006e-05,6.666670042536171e-05,6.54408666383712e-05,6.427172255052977e-05,6.315700556706241e-05,6.209457990342425e-05
14,7.927636417319357e-05,7.789635488460713e-05,7.655533757845618e-05,7.52521180914429e-05,7.398554483861302e-05,7.27545071869683e-05,7.155793389673931e-05,7.03947916273433e-05,6.926408350519102e-05,6.81648477506383e-05,6.70961563615036e-05,6.605711385069258e-05,6.504685603558419e-05
