,0,1,2,3,4,5,6,7,8,9,10,11
0,6.842523557413658e-05,6.675175091754182e-05,6.515944636211222e-05,6.364441614846745e-05,6.220298983075071e-05,6.083171766838343e-05,5.952735704052496e-05,5.8286859809072055e-05,5.710736056185064e-05,5.598616567299823e-05,5.4920743122449375e-05,5.390871302095638e-05
1,6.886819511147585e-05,6.758631923460952e-05,6.63374455056524e-05,6.512062178498656e-05,6.39349266612471e-05,6.277946838082783e-05,6.165338381737065e-05,6.0555837479658104e-05,5.948602055639429e-05,5.844314999642227e-05,5.742646762298625e-05,5.6435239280704386e-05
2,6.908903629862874e-05,6.801493415527099e-05,6.696130509816586e-05,6.592771389981598e-05,6.491373543498152e-05,6.391895442925668e-05,6.29429652142883e-05,6.198537148945184e-05,6.104578608980526e-05,6.012383076014669e-05,5.921913593500675e-05,5.833134052441138e-05
3,6.921050338615502e-05,6.824682155987318e-05,6.729297586238864e-05,6.634892946611553e-05,6.54146445132304e-05,6.449008213796542e-05,6.357520248885564e-05,6.266996475093413e-05,6.177432716786849e-05,6.088824706403271e-05,6.001168086650836e-05,5.9144584127009154e-05
4,6.849224637510979e-05,6.689901017657825e-05,6.539928364364332e-05,6.398836069660115e-05,6.266186952040886e-05,6.14157500336463e-05,6.024623319676857e-05,5.914982201210813e-05,5.81232740815094e-05,5.716358559968581e-05,5.6267976672499225e-05,5.5433877859484327e-05
5,6.907562412794728e-05,6.797589899805606e-05,6.688502433632913e-05,6.580313711850715e-05,6.473036870551362e-05,6.366684486592244e-05,6.261268580162929e-05,6.156800617665588e-05,6.053291514901519e-05,5.95075164055634e-05,5.849190819976352e-05,5.7486183392283854e-05
6,6.924896044648744e-05,6.83135931952173e-05,6.737830284567268e-05,6.64434322089888e-05,6.550931923438959e-05,6.457629682637189e-05,6.364469266899565e-05,6.271482905737793e-05,6.17870227364778e-05,6.0861584747248925e-05,5.9938820280225886e-05,5.9019028536599846e-05
7,6.94978646538648e-05,6.8797795674839e-05,6.808440057497668e-05,6.73582362105347e-05,6.661986517528926e-05,6.586985507617358e-05,6.510877780878751e-05,6.433720883406827e-05,6.35557264573956e-05,6.276491111138667e-05,6.196534464361471e-05,6.115760961046211e-05
8,6.93917234194139e-05,6.860025676438845e-05,6.780983163242517e-05,6.702062017126081e-05,6.62327921413021e-05,6.544651486380764e-05,6.466195317108072e-05,6.387926935868449e-05,6.309862313969003e-05,6.232017160096522e-05,6.154406916151115e-05,6.077046753285082e-05
9,6.72665907523115e-05,6.457716528209896e-05,6.209776402423088e-05,5.981211927851634e-05,5.77055363427281e-05,5.576473732807587e-05,5.3977722462997455e-05,5.233364686522764e-05,5.082271101472745e-05,4.943606338013708e-05,4.81657138433993e-05,4.700445673490727e-05
10,6.848510568681583e-05,6.685337847900534e-05,6.528600458861998e-05,6.378025617687248e-05,6.233354084920944e-05,6.094339447668861e-05,5.960747443278455e-05,5.8323553220261116e-05,5.708951246439403e-05,5.590333725036017e-05,5.47631107840398e-05,5.3667009356811475e-05
11,6.902047835045887e-05,6.788281376280302e-05,6.677041538103129e-05,6.568265324928512e-05,6.46189148876014e-05,6.357860476876128e-05,6.25611438118962e-05,6.15659688922831e-05,6.059253236678153e-05,5.964030161438432e-05,5.8708758591372825e-05,5.779739940058527e-05
12,6.903471213783753e-05,6.791186466324894e-05,6.681483107675277e-05,6.574294756799775e-05,6.469556951245253e-05,6.36720708726576e-05,6.26718436195488e-05,6.169429717314e-05,6.073885786187917e-05,5.9804968400017455e-05,5.889208738235573e-05,5.799968879575663e-05
13,6.899599982305673e-05,6.783512600504722e-05,6.670073751949885e-05,6.55921561862088e-05,6.450872317150934e-05,6.3449798392626e-05,6.24147599416677e-05,6.140300352856443e-05,6.041394194229273e-05,5.944700452975404e-05,5.8501636691693414e-05,5.757729939506924e-05
14,6.548541571918492e-05,6.140351437601808e-05,5.785939260195658e-05,5.478682075816012e-05,5.213022530522261e-05,4.9842998814927056e-05,4.7886122191662586e-05,4.622704149653195e-05,4.4838753581923676e-05,4.369906413217906e-05,4.27899892081021e-05,4.2097277429844885e-05
15,6.761257194049283e-05,6.527475134839104e-05,6.315239079102711e-05,6.122928584527327e-05,5.949102524763566e-05,5.7924810002671724e-05,5.651929537215152e-05,5.52644529984858e-05,5.4151450801589096e-05,5.3172548621704556e-05,5.2321007869784186e-05,5.15910136985996e-05
16,6.894533115663309e-05,6.774197857027181e-05,6.657290341992769e-05,6.543704926192149e-05,6.433339762101796e-05,6.326096652942942e-05,6.221880912708838e-05,6.12060123204742e-05,6.0221695497406464e-05,5.9265009295338936e-05,5.8335134420803816e-05,5.743128051776546e-05
17,6.959340807557898e-05,6.897699729097215e-05,6.8335585980451e-05,6.766996207657117e-05,6.698093860979491e-05,6.62693520500527e-05,6.553606061123968e-05,6.478194252346775e-05,6.400789427795098e-05,6.321482884944124e-05,6.240367390115248e-05,6.157536997711597e-05
18,6.987895440077758e-05,6.952796229522285e-05,6.913175460484852e-05,6.869109385939798e-05,6.82068288664932e-05,6.7679891984188e-05,6.711129612495457e-05,6.650213150459834e-05,6.585356215073493e-05,6.516682218651651e-05,6.444321190625817e-05,6.368409366048183e-05
19,6.885644558757132e-05,6.759802339802452e-05,6.64058706821584e-05,6.527725006738563e-05,6.420959621298748e-05,6.320050609760136e-05,6.224773000372986e-05,6.134916315190683e-05,6.050283794093253e-05,5.970691675407446e-05,5.8959685294348004e-05,5.8259546414964733e-05
