Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (constant 2010 US$),NY.GDP.MKTP.KD,European Union,EUU,11825013130270.7,12011377159263.9,12133766009411.4,12106840105195.1,12443205781015.7,12779853643064.8,13031142531328,13405201947558,13822186152718.3,14240808008354.6,14787637652420.8,15127891026988.1,15323731263697.1,15517814921679.9,15916432149180.6,16253029844638.4,16803780650126.5,17316119811889.3,17405403162181,16654282074671.7,17015366700189.5,17320133012927.8,17246901782583,17292561825024.6,17593272412768,18007213493273.4,18374419790001.8,18851735864414.6,19231570999562.8,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,United Kingdom,GBR,1625140143652.04,1607460266236.66,1613424360275.27,1654185057671.47,1718614879651.65,1779996976908.1,1824346191893.82,1894671635328.74,1963729638937.01,2031050676959.34,2100867467607.3,2163354906535.37,2213638870146.23,2286387401482.14,2340665128141.43,2415091934236.32,2482432535772.49,2542769379516.94,2535620292133.23,2427911661952.04,2475244321361.11,2513366731633.23,2550537514107.23,2605105899522.32,2673033408186.23,2735997359822.44,2788478032878.88,2841238185458.8,2880608472043.74,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
