,pop,gdp,ener_int,cons_oil,cons_coal,cons_gas,total_cons
2018,512567404.73202336,37755.599502613535,8.130408166551632e-11,579.3577904648483,220.49579342232448,399.40343418643465,1562.1498068405374
2019,513722313.00099295,38650.775493861,7.98058246110109e-11,576.4747176231347,213.5916468501208,400.3857390881258,1562.4079954974843
2020,514843052.60664403,39549.24721212282,7.837849241272235e-11,573.3456015817919,207.5001044143661,401.3269234705596,1563.1381165198725
2021,515929386.1181315,40450.173459926504,7.70176165858503e-11,569.9687238436342,202.08153259666943,402.2099161777194,1564.3090776883262
2022,516981082.9577465,41352.6947876593,7.571919844967545e-11,566.345750447318,197.2314282941653,403.02020798783167,1565.893846785266
2023,517997919.48237646,42255.935713076826,7.447966185772434e-11,562.4815799475803,192.87169609209155,403.7455625156928,1567.8692051882956
2024,518979679.0626666,43159.00704953986,7.329581202128601e-11,558.3841194954223,188.94451663435726,404.37578253951585,1570.2155413401758
2025,519926152.15984404,44061.00833332128,7.216479964046887e-11,554.0639953683544,185.40793615459594,404.9025206373244,1572.9166799957625
2026,520839781.1963239,44960.714579357555,7.108408967907859e-11,549.5342071416648,182.23262475930912,405.3191250400007,1575.9597438956434
2027,521720384.7790368,45857.19651190095,7.005143422338297e-11,544.8097371194004,179.39945381587196,405.6205132540301,1579.3350451867689
2028,522567787.77174723,46749.51540572103,6.906484895346217e-11,539.9071285173302,176.89767514110324,405.80306736076903,1583.0360045181344
2029,523381821.3530427,47636.72520553356,6.812259283194507e-11,534.8440471014031,174.72357310033843,405.8645460253226,1587.0590962988563
2030,524162323.0723317,48517.874707391915,6.722315068071169e-11,529.6388414666925,172.87952153199075,405.8040091965118,1591.4038191292038
