,mean_pop,mean_gdp,mean_oil,mean_coal,mean_gas,mean_fossil,std_pop,std_gdp,std_oil,std_coal,std_gas,std_fossil
2018,512846153.4663725,37793.76806298615,575.3116010461314,219.09571858403518,397.6285398171639,1556.1134968554436,5293.751661570581,129.25623380143298,11.046975956040326,10.864442535208369,14.489695949316747,22.14031479109852
2019,514289241.15764284,38736.31249667843,568.5945315647484,210.9308659963993,397.3206980046015,1550.6203231984116,10405.00996433825,249.65232064661993,21.503885139889967,19.817164453240153,26.700640004044313,41.800051258910784
2020,515707603.2273445,39691.90689990772,561.845856881098,203.6935606105869,397.35308185795293,1545.8356694428765,15331.220459026052,360.6803799946615,31.384157644611314,27.2571001248669,37.19695067315384,59.21657271251603
2021,517101011.31571376,40660.27809249837,555.0635464448883,197.2190815979017,397.6323689566265,1541.6878172139982,20069.881069094303,462.02310837718744,40.702128634394626,33.483773825500236,46.39226347902067,74.58987785103355
2022,518469240.6108273,41641.14798683851,548.2464147770992,191.37860042766715,398.0874501863693,1538.1156348222817,24618.543222661272,553.6345908874596,49.4731526516869,38.72426218190214,54.59227597170141,88.0888695194148
2023,519812069.90892327,42634.23550230804,541.3940669665409,186.07091221217334,398.66384160099585,1535.0673484515066,28974.812965764697,635.8482301663087,57.7136569077761,43.15253935537555,62.02485513489337,99.85656495010679
2024,521129281.6738809,43639.2586022168,534.5068480339298,181.21631984170432,399.3196748273532,1532.4995384407105,33136.35205572456,709.5176412500757,65.44114275151952,46.90346113698566,68.86147300394987,110.01448857824285
2025,522420662.09583914,44655.936450680514,527.5857955318648,176.75207838404646,400.0227953629584,1530.3763251802907,37100.87903585999,776.1927262480315,72.67414433929927,50.08295449078617,75.23255229032497,118.66645562870526
2026,523695795.5379038,45676.47861186985,520.6325948057307,172.62898224694143,400.7486451987254,1528.668716529122,40939.08291725168,845.510400327103,79.43215316636315,52.77551017890261,81.23850765741729,125.90193626621323
2027,524954546.8033341,46700.10285764531,513.6495364021077,168.80879910662637,401.4787055486611,1527.3540946906278,44649.53480557062,920.244857019587,85.73551659182645,55.04975531613046,86.95772722568285,131.7991865977741
2028,526196782.1899212,47726.01800056113,506.63947517635467,165.262339821385,402.19934315978605,1526.4158254735066,48230.829238511185,1003.57021714617,91.6053178255361,56.962662588990014,92.45236767560715,136.42834634558375
2029,527422369.51359874,48753.42615382796,499.60579071829125,161.96801400890817,402.90095020456744,1525.8429770561017,51681.584614792875,1098.918280843641,97.06324407562181,58.56280225030072,97.7725795636015,139.85473784308067
2030,528631178.1318345,49781.52507155394,492.552348782802,158.91076446916406,403.57730003513666,1525.630138973138,55000.443616704724,1209.790300733876,102.13144871332682,59.89294134622518,102.95960065523516,142.14266416297568
