,mean_pop,mean_gdp,mean_oil,mean_coal,mean_gas,mean_fossil,std_pop,std_gdp,std_oil,std_coal,std_gas,std_fossil
2018,512567404.73202336,37755.599502613535,579.3577904648483,220.49579342232448,399.40343418643465,1562.1498068405374,7849.876964887186,132.429071747901,8.918865192616503,10.436027078035503,8.917121061474921,16.453429821663367
2019,513722313.00099295,38650.775493861,576.4747176231347,213.5916468501208,400.3857390881258,1562.4079954974843,15640.566326546299,257.23446402387987,17.44589536117644,19.010063805919525,17.30346062480956,31.55015457140268
2020,514843052.60664403,39549.24721212282,573.3456015817919,207.5001044143661,401.3269234705596,1563.1381165198725,23369.8599687492,373.3980136639336,25.62103182400349,26.18293654594179,25.217799176579014,45.3697497796038
2021,515929386.1181315,40450.173459926504,569.9687238436342,202.08153259666943,402.2099161777194,1564.3090776883262,31035.573132820893,479.88918620833044,33.487030419408505,32.279253618153234,32.70788155305036,57.984557548450795
2022,516981082.9577465,41352.6947876593,566.345750447318,197.2314282941653,403.02020798783167,1565.893846785266,38635.54538028793,575.6698371711037,41.0873468625574,37.53547710149972,39.81305456684933,69.46106088099192
2023,517997919.48237646,42255.935713076826,562.4815799475803,192.87169609209155,403.7455625156928,1567.8692051882956,46167.64154475774,659.6996201985316,48.463791226475244,42.13019040507856,46.566401437266535,79.86117454379544
2024,518979679.0626666,43159.00704953986,558.3841194954223,188.94451663435726,404.37578253951585,1570.2155413401758,53629.75267092319,730.942274332828,55.65417647402981,46.202904235220274,52.996448257888574,89.24348790400623
2025,519926152.15984404,44061.00833332128,554.0639953683544,185.40793615459594,404.9025206373244,1572.9166799957625,61019.79694105873,788.3731827807707,62.69020156971152,49.865452111619085,59.12850668772536,97.66449696128994
2026,520839781.1963239,44960.714579357555,549.5342071416648,182.23262475930912,405.3191250400007,1575.9597438956434,68450.61754819454,837.330708907951,69.595788712299,53.20868164374561,64.98570765304957,105.17986588149485
2027,521720384.7790368,45857.19651190095,544.8097371194004,179.39945381587196,405.6205132540301,1579.3350451867689,75920.9036887463,877.1260002337934,76.38603914426938,56.3063313304707,70.58977300228075,111.84576262173024
2028,522567787.77174723,46749.51540572103,539.9071285173302,176.89767514110324,405.80306736076903,1583.0360045181344,83429.32831462557,907.1933432785908,83.06689354677802,59.21744882550063,75.96156567283037,117.7203184059939
2029,523381821.3530427,47636.72520553356,534.8440471014031,174.72357310033843,405.8645460253226,1587.0590962988563,90974.54851955852,927.0974877968633,89.63549695908976,61.98831733565581,81.1214538858218,122.86526616883167
2030,524162323.0723317,48517.874707391915,529.6388414666925,172.87952153199075,405.8040091965118,1591.4038191292038,98555.2059333684,936.5628593185249,96.08119040698396,64.65454900529456,86.08952102263797,127.34781724578632
