,pop,gdp,ener_int,cons_oil,cons_coal,cons_gas,total_cons
2018,8109.648912912533,83.01649994838449,1.1588244274533802e-12,9.526621848176617,9.63526582357248,15.460572136285926,23.331187208041637
2019,16428.18748440472,149.52079954277013,2.1482983445016217e-12,18.636155279406324,17.641448737290848,28.441882410912573,44.15426679325815
2020,24952.58495651861,198.21031209941304,2.988506391796841e-12,27.339043279885317,24.356479453167864,39.49587366369378,62.69583391407513
2021,33679.6217088983,227.9394712974769,3.696403297515563e-12,35.645573871015436,30.033892027533618,49.0372845053095,79.14373808057088
2022,42605.891147234775,237.92098075253884,4.286348291074857e-12,43.56595391383622,34.86523301436361,57.3787928879636,93.65328085574762
2023,51727.801805012125,228.25252420007436,4.77054177286843e-12,51.11036868391497,38.996264720177315,64.75670744039255,106.35233843616196
2024,61041.57965925489,201.53869137275055,5.159384200325377e-12,58.28902858476357,42.53877455118527,71.34987699507403,117.34562211420167
2025,70543.27065437878,168.5722622855344,5.46177348538978e-12,65.11220430890207,45.57924745734246,77.2936949934309,126.71825756846542
2026,79865.6697729687,157.2708384170257,5.685354533467025e-12,71.59025169434355,48.18528471004093,82.69052933173604,134.5388432894142
2027,89006.37046096088,192.54486333525554,5.836732793851195e-12,77.73362746149053,50.41039886589397,87.6175291298513,140.86213975335784
2028,97963.05252662381,274.31196117179184,5.921662840902371e-12,83.55289695196436,52.297642663051455,92.13249440071368,145.7315464630345
2029,106733.48313188173,389.43954898724985,5.945223197362404e-12,89.05873492731529,53.88241370141026,96.2783070204201,149.18154855918465
2030,115315.51773073948,530.6774779439748,5.911990170277503e-12,94.26192042230869,55.19470127705323,100.0862878474441,151.24036755882875
