,pop,gdp,ener_int,cons_oil,cons_coal,cons_gas,total_cons
2018,-0.06021562385396969,1.9482656619952028,-1.243443484531145,-0.44854181255381,-2.1358494578222182,0.8363104087328944,0.1831006309164362
2019,-0.08202689102867118,1.8911487971732013,-1.2132854784521407,-0.552918774341292,-2.023498865484876,0.7829355047121547,0.15992591703234774
2020,-0.10383815820337268,1.8340319323511995,-1.1831274723731364,-0.6572957361287739,-1.911148273147534,0.7295606006914145,0.1367512031482593
2021,-0.12564942537807416,1.7769150675291978,-1.1529694662941317,-0.7616726979162559,-1.7987976808101915,0.6761856966706745,0.11357648926417088
2022,-0.14746069255277572,1.719798202707196,-1.1228114602151271,-0.8660496597037375,-1.6864470884728497,0.6228107926499348,0.09040177538008243
2023,-0.16927195972747722,1.6626813378851946,-1.0926534541361228,-0.9704266214912195,-1.5740964961355077,0.5694358886291948,0.06722706149599403
2024,-0.19108322690217872,1.6055644730631926,-1.0624954480571183,-1.0748035832787013,-1.4617459037981657,0.516060984608455,0.044052347611905594
2025,-0.21289449407688021,1.5484476082411909,-1.0323374419781137,-1.1791805450661836,-1.3493953114608237,0.4626860805877149,0.020877633727817146
2026,-0.22704159115367623,1.4933947073888973,-1.0021794358991092,-1.2835575068536655,-1.2370447191234821,0.40931117656697513,-0.002297080156271287
2027,-0.24118868823047218,1.438341806536604,-0.9720214298201045,-1.3879344686411468,-1.12469412678614,0.3559362725462351,-0.02547179404035971
2028,-0.2553357853072681,1.3832889056843107,-0.9418634237410999,-1.4923114304286291,-1.0123435344487977,0.3025613685254952,-0.048646507924448155
2029,-0.26948288238406415,1.328236004832017,-0.9117054176620953,-1.5966883922161106,-0.8999929421114559,0.24918646450475532,-0.0718212218085366
2030,-0.28362997946086005,1.2731831039797232,-0.8815474115830908,-1.7010653540035927,-0.7876423497741141,0.1958115604840154,-0.09499593569262502
