'41,870685'
'41,304594'
'40,799133'
'37,19933'
'41,410942'
'39,219484'
'35,357383'
'35,441839'
'37,073009'
'38,629517'
'40,41019'
'39,318406'
'35,682278'
'33,69871'
'36,487149'
'34,746166'
'33,105678'
'31,533546'
'31,152184'
'27,61117'
'30,254264'
'29,180283'
'24,433173'
'23,781702'
'22,011135'
'20,642383'
'19,286907'
'17,402309'
'17,903221'
'10,704148'
'14,002807'
'13,041344'
'12,063244'
'12,618503'
'12,21184'
'12,29517'
'11,619851'
'11,398655'
